CINT2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",10.7,9.19,32,16,2,2,"SPARC64 VI",2280,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"64 GB (64 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,19,"Fujitsu Limited","Fujitsu Limited",Mar-2007,May-2007,Jul-2014,
CINT2006,"Fujitsu Limited","Fujitsu SPARC Enterprise M8000",11.9,10.5,64,16,4,2,"SPARC64 VII",2520,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32/64-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"256 GB (128 x 2 GB)","Solaris 10 5/08 with Patch 137111-03",ufs,"Sun Studio 12 with patches, 124867-06, 124861-07, 124863-05, (see patch information below)",Jul-2008,Jul-2008,19,"Sun Microsystems","Fujitsu Limited",Jul-2008,Aug-2008,Jul-2014,
CINT2006,"Oracle Corporation","SPARC Enterprise M3000",16.3,14.6,4,1,4,2,"SPARC64 VII+",2860,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5632 KB I+D on chip per chip",None,None,"32 GB (8 x 4 GB, 2-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Apr-2011,Sep-2010,6,Fujitsu,"Oracle Corporation",Jan-2011,Apr-2011,Jul-2014,
CINT2006,"Oracle Corporation","SPARC Enterprise M4000",14.8,13.4,16,4,4,2,"SPARC64 VII+",2660,,"1 to 2 CPUMs; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","11 MB I+D on chip per chip",None,None,"128 GB (32 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,6,Fujitsu,"Oracle Corporation",Oct-2010,Dec-2010,Jul-2014,
CINT2006,"Oracle Corporation","SPARC Enterprise M8000",15.8,14.2,64,16,4,2,"SPARC64 VII+",3000,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","12 MB I+D on chip per chip",None,None,"512 GB (128 x 4 GB, 8-way interleaved)","Oracle Solaris 10 9/10",zfs,"Oracle Solaris Studio 12.2",Dec-2010,Sep-2010,6,Fujitsu,"Oracle Corporation",Oct-2010,Dec-2010,Jul-2014,
CINT2006,"Sun Microsystems","Sun Blade 1000",0,3.12,2,2,1,1,"UltraSPARC III Cu",900,,"1,2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"2 GB (4-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Nov-2001,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Blade 2000",0,3.82,1,1,1,1,"UltraSPARC III Cu",1200,,"1,2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"8 GB (4-way interleaved)","Solaris 10 3/05",ufs,"Sun Studio 11 with patch 120760-03",Apr-2003,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Blade 2500",0,4.04,1,1,1,1,"UltraSPARC IIIi",1280,,"1-2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","1 MB I+D on chip per chip",None,None,"4 GB (16-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Dec-2003,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Fire 280R",0,2.38,1,1,1,1,"UltraSPARC III",750,,"1,2 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"4 GB (2-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Sep-2000,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Fire 3800",0,2.29,1,1,1,1,"UltraSPARC III Cu",750,,"2,4,6,8 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"2 GB (8 x 256 MB DIMM, 4-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Mar-2001,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Fire 3800",0,2.91,1,1,1,1,"UltraSPARC III Cu",900,,"2,4,6,8 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"4 GB (8 x 512 MB DIMM, 4-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Nov-2001,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CINT2006,"Sun Microsystems","Sun Fire 3800",0,3.59,1,1,1,1,"UltraSPARC III Cu",1200,,"2,4,6,8 chips",No,32-bit,"Not Applicable","32 KB I + 64 KB D on chip per chip","8 MB I+D off chip per chip",None,None,"4 GB (8 x 512 MB DIMM, 4-way interleaved)","Solaris 10 1/06",ufs,"Sun Studio 11 with patch 120760-03",Mar-2003,May-2006,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
